rank,tier,slug,title,doc_id,writer_type,target_skill,upgrade_label,sprint_bucket,upgrade_score,clicks_28d,impressions_28d,position_28d,rewrite_score,chars,content_cluster,current_state,next_round,rationale,recommended_depth,recommended_action
603,B_indexed_or_visible_refresh,ai-design-for-nonprofit-fundraising-campaigns-2026,AI Design for Nonprofit Fundraising — Campaigns That Move People to Give,ai-design-for-nonprofit-fundraising-campaigns-2026,Best Practice,lovart-best-practice,cluster_support_only,b2,735.16,1.0,20.0,8.85,261.6,11921,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; 20 impressions; 1 clicks; pos 8.8; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
604,B_indexed_or_visible_refresh,nightcafe-alternative,NightCafe Alternative: When to Use a Design Agent Instead,1u5vaBwLndY1gqYUMVevK2,Review,lovart-review,deep_refresh_candidate,b1,950.04,1.0,18.0,8.33,261.44,10071,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 18 impressions; 1 clicks; pos 8.3; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
605,B_indexed_or_visible_refresh,beautyplus-alternative,BeautyPlus Alternative: When to Use a Design Agent Instead,5OcAE57ZPh7ef83a6AOAlM,Review,lovart-review,deep_refresh_candidate,b1,949.99,1.0,17.0,9.88,261.36,10078,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 17 impressions; 1 clicks; pos 9.9; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
606,B_indexed_or_visible_refresh,ai-design-agent-last-mile-production,"Solving the ""Last Mile"": How Lovart Takes You from Draft to Final Deliverable",ai-design-agent-last-mile-production,How-To,how-to-benchmark-research,keep_refresh_only,b2,749.99,1.0,17.0,8.41,261.36,25743,AI Design Agent,signal_refresh_complete,Round 4 -> Round 5,How-To; 17 impressions; 1 clicks; pos 8.4; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
607,B_indexed_or_visible_refresh,ab-testing-designs-generating-variations-ai,A/B Testing Designs — Generating 4 Variations of One Ad to See Which Wins,ab-testing-designs-generating-variations-ai,How-To,how-to-benchmark-research,keep_refresh_only,b2,749.7,1.0,12.0,7.5,260.96,10815,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 12 impressions; 1 clicks; pos 7.5; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
608,B_indexed_or_visible_refresh,best-ai-design-agent-for-sushi-restaurant-owner,"Best AI Design Agent for Sushi Restaurant Owners: Omakase Menus, Nigiri Guides & Japanese Aesthetic Visuals by Lovart",best-ai-design-agent-for-sushi-restaurant-owner,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,924.7,1.0,12.0,5.25,260.96,16077,AI Design Agent,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 12 impressions; 1 clicks; pos 5.2; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
609,B_indexed_or_visible_refresh,lovart-vs-freepik-complete,Lovart vs Freepik Complete: Compare the Workflow Before You Choose,blog-lovart-vs-freepik-complete-en,Review,lovart-review,cluster_support_only,b2,759.64,1.0,11.0,9.36,260.88,10033,General Creative Workflow,signal_refresh_complete,Round 4,Review; 11 impressions; 1 clicks; pos 9.4; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
610,B_indexed_or_visible_refresh,how-to-create-promotional-postcards-without-photoshop,How To Create Promotional Postcards Without Photoshop: A Practical Lovart Workflow Guide,blog-how-to-create-promotional-postcards-without-photoshop-en,How-To,how-to-benchmark-research,deep_refresh_candidate,b1,919.12,1.0,2.0,4.0,260.16,9062,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 2 impressions; 1 clicks; pos 4.0; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
611,B_indexed_or_visible_refresh,what-happened-when-i-tried-vmaker-for-real-projects,What Happened When I Tried Vmaker For Real Projects,67b7e84b-98e7-44aa-b498-762c31996ff1,Best Practice,lovart-best-practice,cluster_support_only,b2,732.84,0.0,49.0,8.37,253.92,10779,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; 49 impressions; pos 8.4; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
612,B_indexed_or_visible_refresh,best-ai-design-tool-for-solopreneurs-2026,Best AI Design Tool For Solopreneurs 2026: A Practical Lovart Workflow Guide,bd-best-ai-design-tool-for-solopreneurs-2026,Best Practice,lovart-best-practice,cluster_support_only,b2,762.84,0.0,49.0,17.69,253.92,9002,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; broad-intent; 49 impressions; pos 17.7; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
613,B_indexed_or_visible_refresh,the-end-of-ocr-why-editable-text-generation-is-the-future-of-design,The End of OCR: Why Editable Text Generation is the Future of Design,the-end-of-ocr-why-editable-text-generation-is-the-future-of-des,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.84,0.0,49.0,5.71,253.92,15321,General Creative Workflow,signal_refresh + blocker_cleanup,Round 4 -> Round 5,How-To; 49 impressions; pos 5.7; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
614,B_indexed_or_visible_refresh,best-ai-design-agent-for-coffee-shop-owner,Best AI Design Agent For Coffee Shop Owner: A Practical Lovart Workflow Guide,best-ai-design-agent-for-coffee-shop-owner,Best Practice,lovart-best-practice,cluster_support_only,b2,762.73,0.0,47.0,19.17,253.76,9007,AI Design Agent,signal_refresh_complete,Round 4,Best Practice; broad-intent; 47 impressions; pos 19.2; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
615,B_indexed_or_visible_refresh,best-ai-design-agent-for-food-blogger,"Best AI Design Agent for Food Bloggers: Recipe Cards, Step-by-Step Guides & Food Photography Visuals by Lovart",best-ai-design-agent-for-food-blogger,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,922.73,0.0,47.0,11.3,253.76,15743,AI Design Agent,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 47 impressions; pos 11.3; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
616,B_indexed_or_visible_refresh,case-study-game-dev-ai-textures-materials,"How Game Developer Yuki Tanaka Generated 2,400 Textures in 6 Days — And Shipped His Indie Game 8 Months Early",case-study-game-dev-ai-textures-materials,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.67,0.0,46.0,18.87,253.68,15554,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 46 impressions; pos 18.9; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
617,B_indexed_or_visible_refresh,stop-rerolling-5-ai-prompting-mistakes-designers,Stop Rerolling 5 AI Prompting Mistakes Designers: A Practical Lovart Workflow Guide,stop-rerolling-5-ai-prompting-mistakes-designers,How-To,how-to-benchmark-research,deep_refresh_candidate,b1,917.55,0.0,44.0,7.05,253.52,9037,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 44 impressions; pos 7.0; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
618,B_indexed_or_visible_refresh,agency-adapting-to-ai-design-workflow,"How Design Agencies Are Adapting to AI — Workflows, Pricing & Client Relations",agency-adapting-to-ai-design-workflow,Best Practice,lovart-best-practice,cluster_support_only,b2,732.49,0.0,43.0,17.23,253.44,12236,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; 43 impressions; pos 17.2; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
619,B_indexed_or_visible_refresh,design-governance-ai-brand-compliance-workflows-2027,Design Governance with AI: Setting Up Brand Compliance Workflows for Enterprise Teams,design-governance-ai-brand-compliance-workflows-2027,Best Practice,lovart-best-practice,cluster_support_only,b2,732.49,0.0,43.0,9.79,253.44,12996,Brand System,signal_refresh_complete,Round 4,Best Practice; 43 impressions; pos 9.8; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
620,B_indexed_or_visible_refresh,storytelling-thumbnails-intrigue-not-just-subject,Storytelling Thumbnails Intrigue Not Just Subject: A Practical Lovart Workflow Guide,storytelling-thumbnails-intrigue-not-just-subject,How-To,how-to-benchmark-research,deep_refresh_candidate,b1,917.49,0.0,43.0,7.26,253.44,9042,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 43 impressions; pos 7.3; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
621,B_indexed_or_visible_refresh,ai-for-teachers-classroom-education-2026,"AI Design for Teachers & Classrooms — Worksheets, Certificates & Visual Learning",ai-for-teachers-classroom-education-2026,Best Practice,lovart-best-practice,cluster_support_only,b2,732.44,0.0,42.0,8.67,253.36,12499,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; 42 impressions; pos 8.7; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
622,B_indexed_or_visible_refresh,best-ai-design-agent-for-tattoo-artist,"Best AI Design Agent for Tattoo Artists: Flash Sheets, Portfolio Design & Tattoo Studio Branding by Lovart",best-ai-design-agent-for-tattoo-artist,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,922.44,0.0,42.0,9.1,253.36,16673,Brand System,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 42 impressions; pos 9.1; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
623,B_indexed_or_visible_refresh,canva-templates-vs-lovart-generative-layouts-which-is-truly-unique,Canva Templates vs. Lovart Generative Layouts- Which is Truly Unique,c5f79b2a-1702-4be4-a750-6baa7b33020f,Review,lovart-review,keep_refresh_only,b2,777.44,0.0,42.0,8.38,253.36,9985,Canva Alternative,signal_refresh + blocker_cleanup,Round 4 -> Round 5,Review; 42 impressions; pos 8.4; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
624,B_indexed_or_visible_refresh,canva-templates-vs-lovart-generative-layouts-which-is-truly-unique,Canva Templates vs. Lovart Generative Layouts: Which is Truly Unique?,canva-templates-vs-lovart-generative-layouts-which-is-truly-uniq,Review,lovart-review,keep_refresh_only,b2,777.44,0.0,42.0,8.38,253.36,9983,Canva Alternative,signal_refresh + blocker_cleanup,Round 4 -> Round 5,Review; 42 impressions; pos 8.4; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
625,B_indexed_or_visible_refresh,ai-design-for-tiktok-creators-viral-visuals,AI Design For Tiktok Creators Viral Visuals: A Practical Lovart Workflow Guide,ai-design-for-tiktok-creators-viral-visuals,Best Practice,lovart-best-practice,cluster_support_only,b2,762.32,0.0,40.0,13.0,253.2,9012,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; broad-intent; 40 impressions; pos 13.0; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
626,B_indexed_or_visible_refresh,brand-kit-dance-studio-lovart,Brand Kit for Dance Studio Lovart: Build a Visual System With AI,brand-kit-dance-studio-lovart,Best Practice,lovart-best-practice,cluster_support_only,b2,732.32,0.0,40.0,9.7,253.2,9087,Brand System,signal_refresh_complete,Round 4,Best Practice; 40 impressions; pos 9.7; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
627,B_indexed_or_visible_refresh,case-study-filmmaker-ai-movie-poster,How Filmmaker Nadia Karimi Designed a Festival-Winning Movie Poster for $19 — And the Director Thought She'd Hired an Agency,case-study-filmmaker-ai-movie-poster,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.26,0.0,39.0,8.44,253.12,16022,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 39 impressions; pos 8.4; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
628,B_indexed_or_visible_refresh,how-to-create-avatars-cartoons-characters-ai,"How to Create Avatars, Cartoon Characters & Anime Art with AI",how-to-create-avatars-cartoons-characters-ai,How-To,how-to-benchmark-research,cluster_support_only,b2,727.26,0.0,39.0,10.23,253.12,51970,Character Consistency,signal_refresh_complete,Round 4,How-To; 39 impressions; pos 10.2; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
629,B_indexed_or_visible_refresh,https-www-lovart-ai-zh-blog-vector-logo-export-why-you-need-svg-files-for-signage-and-print,Vector Logo Export Why You Need SVG Files For Signage And Print,https-www-lovart-ai-zh-blog-vector-logo-export-why-you-need-svg-,Best Practice,lovart-best-practice,cluster_support_only,b2,732.26,0.0,39.0,8.21,253.12,13239,Logo & Identity,signal_refresh + blocker_cleanup,Round 4,Best Practice; 39 impressions; pos 8.2; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
630,B_indexed_or_visible_refresh,brand-kit-bubble-tea-shop-lovart,Brand Kit for Bubble Tea Shop Lovart: Build a Visual System With AI,brand-kit-bubble-tea-shop-lovart,Best Practice,lovart-best-practice,cluster_support_only,b2,732.2,0.0,38.0,10.42,253.04,9105,Brand System,signal_refresh_complete,Round 4,Best Practice; 38 impressions; pos 10.4; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
631,B_indexed_or_visible_refresh,japan-market-ai-design-localization-lessons,Japan Market AI Design — Localization Lessons from 20% CTR Growth,japan-market-ai-design-localization-lessons,Insight & Trend,lovart-insight-trend,deep_refresh_candidate,b1,912.2,0.0,38.0,12.89,253.04,13828,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Insight & Trend; 38 impressions; pos 12.9; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
632,B_indexed_or_visible_refresh,s13-why-your-designs-look-amateur,Why Your Designs Look Amateur (and How AI Fixes These 7 Mistakes),s13-why-your-designs-look-amateur,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.2,0.0,38.0,8.92,253.04,9534,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 38 impressions; pos 8.9; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
633,B_indexed_or_visible_refresh,01-industry-before-after-design,Before & After Design: Creating Compelling Transformation Visuals That Drive Action,01-industry-before-after-design,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.09,0.0,36.0,14.11,252.88,11984,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 36 impressions; pos 14.1; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
634,B_indexed_or_visible_refresh,how-to-chat-generate-sales-deck-lovart,How to Chat-Generate Sales Decks with Lovart — Pitch Decks That Close Deals,how-to-chat-generate-sales-deck-lovart,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.09,0.0,36.0,5.86,252.88,51023,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 36 impressions; pos 5.9; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
635,B_indexed_or_visible_refresh,03-cluster-brand-storytelling,Brand Storytelling Through Visual Design: The AI-Powered Approach,03-cluster-brand-storytelling,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.03,0.0,35.0,19.37,252.8,11394,Brand System,signal_refresh_complete,Round 4 -> Round 5,How-To; 35 impressions; pos 19.4; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
636,B_indexed_or_visible_refresh,lovart-worlds-first-ai-image-generator-intelligent-agent,Lovart AI - The World's First AI Image Generator Intelligent Agent Platform,lovart-worlds-first-ai-image-generator-intelligent-agent,How-To,how-to-benchmark-research,keep_refresh_only,b2,747.03,0.0,35.0,4.51,252.8,49607,AI Image,signal_refresh_complete,Round 4 -> Round 5,How-To; 35 impressions; pos 4.5; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
637,B_indexed_or_visible_refresh,02-industry-product-screenshot-beautification,02 Industry Product Screenshot Beautification: A Practical Lovart Workflow Guide,02-industry-product-screenshot-beautification,How-To,how-to-benchmark-research,deep_refresh_candidate,b1,916.97,0.0,34.0,7.47,252.72,9022,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 34 impressions; pos 7.5; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
638,B_indexed_or_visible_refresh,brand-kit-for-amazon-sellers,Brand Kit for Amazon Sellers: Build a Visual System With AI,blog-brand-kit-for-amazon-sellers-en,Best Practice,lovart-best-practice,cluster_support_only,b2,731.97,0.0,34.0,8.74,252.72,9057,Brand System,signal_refresh_complete,Round 4,Best Practice; 34 impressions; pos 8.7; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
639,B_indexed_or_visible_refresh,no-magic-spells-needed-how-to-talk-to-lovart-like-a-human,"No ""Magic Spells"" Needed: How to Talk to Lovart Like a Human",no-magic-spells-needed-how-to-talk-to-lovart-like-a-human,How-To,how-to-benchmark-research,keep_refresh_only,b2,746.97,0.0,34.0,8.68,252.72,10785,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 34 impressions; pos 8.7; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
640,B_indexed_or_visible_refresh,ai-design-chatcanvas-context-workflow,The Death of the Text Prompt: Why Canvas as Context is the Future of AI Design,ai-design-chatcanvas-context-workflow,Best Practice,lovart-best-practice,keep_refresh_only,b2,751.91,0.0,33.0,12.82,252.64,21617,Lovart Canvas,signal_refresh_complete,Round 4 -> Round 5,Best Practice; 33 impressions; pos 12.8; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
641,B_indexed_or_visible_refresh,ai-design-for-podcasters-complete-visual-kit,AI Design for Podcasters — Complete Visual Kit from Cover Art to Social,ai-design-for-podcasters-complete-visual-kit,Best Practice,lovart-best-practice,cluster_support_only,b2,731.91,0.0,33.0,6.73,252.64,11494,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; 33 impressions; pos 6.7; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
642,B_indexed_or_visible_refresh,bbq-playbook-ai-food-photography,Enter the Digital Food Stylist (How Lovart Thinks),bbq-playbook-ai-food-photography,How-To,how-to-benchmark-research,keep_refresh_only,b2,746.91,0.0,33.0,16.61,252.64,18592,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 33 impressions; pos 16.6; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
643,B_indexed_or_visible_refresh,minimalist-coffee-logo-ai-prompts,The Anatomy of a Modern Coffee Brand,minimalist-coffee-logo-ai-prompts,How-To,how-to-benchmark-research,keep_refresh_only,b2,746.91,0.0,33.0,13.76,252.64,25263,Brand System,signal_refresh_complete,Round 4 -> Round 5,How-To; 33 impressions; pos 13.8; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
644,B_indexed_or_visible_refresh,brand-kit-for-photographers,Brand Kit for Photographers: Build a Visual System With AI,blog-brand-kit-for-photographers-en,Best Practice,lovart-best-practice,cluster_support_only,b2,731.86,0.0,32.0,19.34,252.56,9051,Brand System,signal_refresh_complete,Round 4,Best Practice; 32 impressions; pos 19.3; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
645,B_indexed_or_visible_refresh,best-ai-design-agent-for-online-seller,"Best AI Design Agent for Online Sellers — Multi-Platform Listing Visuals, Promo Graphics & Conversion-Focused Store Design",best-ai-design-agent-for-online-seller,Best Practice,lovart-best-practice,cluster_support_only,b2,761.8,0.0,31.0,12.61,252.48,9323,AI Design Agent,signal_refresh_complete,Round 4,Best Practice; broad-intent; 31 impressions; pos 12.6; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
646,B_indexed_or_visible_refresh,best-ai-design-agent-for-piercing-studio,"Best AI Design Agent for Piercing Studios: Jewelry Menus, Aftercare Guides & Body Art Branding by Lovart",best-ai-design-agent-for-piercing-studio,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,921.8,0.0,31.0,8.03,252.48,18134,Brand System,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 31 impressions; pos 8.0; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
647,B_indexed_or_visible_refresh,best-ai-design-agent-for-coffee-shop-owners,Best AI Design Agent For Coffee Shop Owners: A Practical Lovart Workflow Guide,blog-best-ai-design-agent-for-coffee-shop-owners-en,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,921.8,0.0,31.0,8.42,252.48,9012,AI Design Agent,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 31 impressions; pos 8.4; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
648,B_indexed_or_visible_refresh,sora-2-vs-lovart,Sora 2 vs Lovart: Compare the Workflow Before You Choose,0fqG5ke3o5nAjEjVNKlOgB,Review,lovart-review,cluster_support_only,b2,756.74,0.0,30.0,6.17,252.4,9963,General Creative Workflow,signal_refresh_complete,Round 4,Review; 30 impressions; pos 6.2; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
649,B_indexed_or_visible_refresh,ai-design-education-course-materials-certificates,AI Design Education Course Materials Certificates: A Practical Lovart Workflow Guide,ai-design-education-course-materials-certificates,How-To,how-to-benchmark-research,cluster_support_only,b2,756.74,0.0,30.0,14.57,252.4,9042,General Creative Workflow,signal_refresh_complete,Round 4,How-To; broad-intent; 30 impressions; pos 14.6; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
650,B_indexed_or_visible_refresh,case-study-designer-ai-image-model-workflow,How Designer Lena Vogel Built an AI Model Workflow That Produces 4 Hours of Design in 19 Minutes,case-study-designer-ai-image-model-workflow,Best Practice,lovart-best-practice,cluster_support_only,b2,731.74,0.0,30.0,6.47,252.4,16824,AI Image,signal_refresh_complete,Round 4,Best Practice; 30 impressions; pos 6.5; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
651,B_indexed_or_visible_refresh,case-study-poet-ai-text-art-typography,How Poet Amara Diallo Turned 83 Poems into Visual Art — And Built a Gallery Exhibition Without Touching a Paintbrush,case-study-poet-ai-text-art-typography,How-To,how-to-benchmark-research,keep_refresh_only,b2,746.74,0.0,30.0,7.5,252.4,16725,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 30 impressions; pos 7.5; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
652,B_indexed_or_visible_refresh,online-ai-picture-generator-performance-marketing-scale,Online AI Picture Generator Performance Marketing Scale: Create Better Visuals From a Clear Brief,online-ai-picture-generator-performance-marketing-scale,How-To,how-to-benchmark-research,keep_refresh_only,b2,746.74,0.0,30.0,9.57,252.4,9092,General Creative Workflow,signal_refresh_complete,Round 4 -> Round 5,How-To; 30 impressions; pos 9.6; maintain signal refresh state,"Keep refresh gains; add proof, CTR framing, and cluster polish only.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
653,B_indexed_or_visible_refresh,the-portfolio-renaissance-going-bananas-for-better-design,The Portfolio Renaissance: Going Bananas for Better Design,the-portfolio-renaissance-going-bananas-for-better-design,Best Practice,lovart-best-practice,cluster_support_only,b2,731.74,0.0,30.0,7.43,252.4,18211,General Creative Workflow,signal_refresh_complete,Round 4,Best Practice; 30 impressions; pos 7.4; best kept as cluster support,"Support role only; keep clean, indexable, and internally linked.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
654,B_indexed_or_visible_refresh,the-best-ai-agent-driven-canvas-for-beauty-salon-owner-with-lovart-all-in-one-design-agent,The Best AI Agent Driven Canvas For Beauty Salon Owner with Lovart All-in-One Design Agent,the-best-ai-agent-driven-canvas-for-beauty-salon-owner-with-lova,Best Practice,lovart-best-practice,deep_refresh_candidate,b1,921.68,0.0,29.0,5.52,252.32,13709,AI Design Agent,signal_refresh_complete,Round 2 -> Round 3,Best Practice; broad-intent; 29 impressions; pos 5.5; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.",Refresh if query intent is relevant; preserve URL; improve sections tied to visible queries.
